punto;Fecha;Hora;Sector;Altura(msn);Collector;Altura_planta(cm);Foto;Foto_montaje;Num_muestras;T_colecta(min);Foptico_suelo(cm);Foptico_objetivo(cm);FOV;GFOV;salud;Nubes;Cantidad_nubes_octas;Temperatura(ºC);Viento(m/s);Humedad;Espectroradiometro;id_especie;het;salud;fenologia;Longitud;Latitud;est;ze;est_fit;id_espec;Especies;Familia
125;3/11/2020;10:58:00;Verjón Sector Telecom;3378,91;Nelson Nieto;250;1583938805172.jpg;no aplica;2;10;250;25;25;11,7;;Estratocumulos;8-jun;13;1;;USB 4000;;;;;-74,00482982;4,583264668;;;;;Gaultheria myrsinoides;Ericaceae
126;3/11/2020;1:02:00;Verjón Sector Telecom;3395,02;Nelson Nieto;100;1583946244867.jpg;no aplica;2;10;100;25;25;11,7;;Estratocumulos;8-jun;13;2;;USB 4000;;;;;-74,00439022;4,583078893;;;;;Hesperomeles  goudotiana;Rosaceae
127;3/11/2020;12:25:00;Verjón Sector Telecom;3367,49;Nelson Nieto;150;1583944007666.jpg;no aplica;1;10;150;25;25;11,7;;Estratocumulos;8-jun;13;2;;USB 4000;;;;;-74,00487249;4,583957593;;;;;Hypericum goyanesii;Hypericaceae
128;3/11/2020;11:06:00;Verjón Sector Telecom;3380,21;Nelson Nieto;30;1583939239951.jpg;no aplica;2;10;30;25;25;11,7;;Estratocumulos;8-jun;14;2;;USB 4000;;;;;-74,00494979;4,583131629;;;;;Leptodontium viticulosoides;Pottiaceae
129;3/11/2020;11:31:00;Verjón Sector Telecom;3372,22;Nelson Nieto;200;1583940972054.jpg;no aplica;2;10;200;25;25;11,7;;Estratocumulos;8-jun;13;2;;USB 4000;;;;;-74,00512454;4,583598728;;;;;Linochilus ochraceus;Compositae
130;3/11/2020;11:50:00;Verjón Sector Telecom;3362,52;Nelson Nieto;230;1583942004280.jpg;no aplica;2;10;230;25;25;11,7;;Estratocumulos;8-jun;13;2;;USB 4000;;;;;-74,00498354;4,583751107;;;;;Oreopanax mutisianus;Araliaceae
131;3/11/2020;10:52:00;Verjón Sector Telecom;3380,35;Nelson Nieto;300;1583938452208.jpg;no aplica;4;10;300;25;25;11,7;;Estratocumulos;8-jun;13;1;;USB 4000;;;;;-74,00488301;4,583340938;;;;;Pentacala pulchella ;Asteraceae
132;3/11/2020;12:05:00;Verjón Sector Telecom;3357,32;Nelson Nieto;100;1583942787779.jpg;no aplica;1;10;100;25;25;11,7;;Estratocumulos;8-jun;13;1;;USB 4000;;;;;-74,00493968;4,583836481;;;;;Pentacalia ledifolia;Compositae
133;3/11/2020;12:32:00;Verjón Sector Telecom;3362,07;Nelson Nieto;50;1583944398990.jpg;no aplica;3;10;50;25;25;11,7;;Estratocumulos;8-jun;13;2;;USB 4000;;;;;-74,00492029;4,583993589;;;;;Vaccinium floribundum;Ericaceae
134;3/12/2020;12:00:00;Vía La Calera;3132,29;Nelson Nieto;300;1584028949682.jpg;no aplica;2;10;300;25;25;11,7;;Estratocumulos;8-Apr;13;1;;USB 4000;;;;;-74,01877806;4,601233538;;;;;Ageratina asclepiadea;Compositae
135;3/12/2020;10:45:00;Vía La Calera;3163,13;Nelson Nieto;130;1584024429355.jpg;no aplica;2;10;130;25;25;11,7;;Estratocumulos;8-Apr;12;2;;USB 4000;;;;;-74,01961929;4,601080932;;;;;Bejaria resinosa;Ericaceae
136;3/12/2020;11:46:00;Vía La Calera;3142,5;Nelson Nieto;400;1584028021979.jpg;1584028039199.jpg;2;10;400;25;25;11,7;;Estratocumulos;8-Apr;13;1;;USB 4000;;;;;-74,01906252;4,600824424;;;;;Eucalyptus globulus;Myrtaceae
137;3/12/2020;10:06:00;Vía La Calera;3175,3;Nelson Nieto;270;1584022074338.jpg;no aplica;2;10;270;25;25;11,7;;Estratocumulos;8-Apr;12;2;;USB 4000;;;;;-74,01984587;4,601411246;;;;;Gaiadendron punctatum;Loranthaceae
138;3/12/2020;11:34:00;Vía La Calera;3140,17;Nelson Nieto;100;1584027324920.jpg;no aplica;2;10;100;25;25;11,7;;Estratocumulos;8-Apr;13;1;;USB 4000;;;;;-74,01929303;4,600795605;;;;;Gaultheria myrsinoides;Ericaceae
139;3/12/2020;12:29:00;Vía La Calera;3125,92;Nelson Nieto;90;1584030585142.jpg;no aplica;2;10;90;25;25;11,7;;Estratocumulos;8-Apr;13;1;;USB 4000;;;;;-74,01901647;4,601910442;;;;;Hesperomeles  goudotiana;Rosaceae
140;3/12/2020;12:48:00;Vía La Calera;3128,8;Nelson Nieto;600;1584031909213.jpg;no aplica;2;10;600;25;25;11,7;;Estratocumulos;8-Apr;13;1;;USB 4000;;;;;-74,01903012;4,602198005;;;;;Hesperomeles  goudotiana;Rosaceae
141;3/12/2020;12:17:00;Vía La Calera;3125,67;Nelson Nieto;160;1584029911667.jpg;no aplica;2;10;160;25;25;11,7;;Estratocumulos;8-Apr;13;1;;USB 4000;;;;;-74,01889598;4,60183413;;;;;Hypericum  juniperinum;Hypericaceae
142;3/12/2020;9:59:00;Vía La Calera;3167,23;Nelson Nieto;250;1584021720997.jpg;no aplica;2;10;250;25;25;11,7;;Estratocumulos;8-mar;12;2;;USB 4000;;;;;-74,01973268;4,601470579;;;;;Linochilus revolutus;Compositae
143;3/12/2020;10:30:00;Vía La Calera;3155,65;Nelson Nieto;200;1584023556113.jpg;no aplica;2;10;200;25;25;11,7;;Estratocumulos;8-Apr;12;2;;USB 4000;;;;;-74,01969701;4,600904063;;;;;Miconia ligustrina;Melastomataceae
144;3/12/2020;10:52:00;Vía La Calera;3166,7;Nelson Nieto;450;1584024973921.jpg;no aplica;2;10;450;25;25;11,7;;Estratocumulos;8-Apr;13;2;;USB 4000;;;;;-74,0197964;4,601252809;;;;;Oreopanax bogotensis;Araliaceae
145;3/12/2020;11:11:00;Vía La Calera;3173,41;Nelson Nieto;600;1584026003699.jpg;1584026027529.jpg;2;10;600;25;25;11,7;;Estratocumulos;8-Apr;13;1;;USB 4000;;;;;-74,0200695;4,601339954;;;;;Vallea stipularis;Elaeocarpaceae
146;3/12/2020;12:10:00;Vía La Calera;3133,04;Nelson Nieto;700;1584029485177.jpg;1584029506382.jpg;2;10;700;25;25;11,7;;Estratocumulos;8-Apr;13;1;;USB 4000;;;;;-74,01871605;4,601391298;;;;;Viburnum triphyllum;Adoxaceae
147;5/29/2020;11:10:00;Vereda Romeral, sector Crambray;3565,47;Hernando Hernandez;120;1590768712384.jpg;no aplica;2;10;120;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,22160715;4,406325086;;;;;Acaena elongata;Rosaceae
148;5/29/2020;11:23:00;Vereda Romeral, sector Crambray;3562,74;Hernando Hernandez;110;1590769471072.jpg;no aplica;2;10;110;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,2213651;4,406316429;;;;;Achyrocline saturejoides;Compositae
149;5/29/2020;10:33:00;Vereda Romeral, sector Crambray;3383;Hernando Hernandez;;;no aplica;2;10;;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,222659;4,406639;;;;;Alnus acuminata ;Betulaceae
150;5/29/2020;12:05:00;Vereda Romeral, sector Crambray;3563,68;Hernando Hernandez;70;1590772069825.jpg;no aplica;2;10;70;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,2208141;4,406027142;;;;;Arcytophyllum nitidum ;Rubiaceae
151;5/29/2020;10:38:00;Vereda Romeral, sector Crambray;3446;Hernando Hernandez;;;no aplica;2;10;;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,222654;4,406584;;;;;Baccharis prunifolia ;Compositae
152;5/29/2020;11:50:00;Vereda Romeral, sector Crambray;3559,72;Hernando Hernandez;300;1590771087664.jpg;no aplica;2;10;300;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,22095085;4,406130723;;;;;Chusquea tessellata;Poaceae
153;5/29/2020;14:11:00;Vereda Romeral, sector Crambray;3547,55;Hernando Hernandez;200;1590779638028.jpg;no aplica;2;10;200;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,22230468;4,406498033;;;;;Escallonia myrtilloides ;Escalloniaceae
154;5/29/2020;13:00:00;Vereda Romeral, sector Crambray;3569,23;Hernando Hernandez;167;1590775336204.jpg;no aplica;2;10;167;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,22020406;4,406291253;;;;;Espeletia grandiflora;Compositae
155;5/29/2020;12:48:00;Vereda Romeral, sector Crambray;3562,24;Hernando Hernandez;170;1590774566192.jpg;no aplica;2;10;170;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,22063005;4,405921587;;;;;Gaiadendron punctatum;Loranthaceae
156;5/29/2020;10:44:00;Vereda Romeral, sector Crambray;3559,07;Hernando Hernandez;200;1590767128085.jpg;no aplica;2;10;200;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,22238382;4,406517326;;;;;Hesperomeles  goudotiana;Rosaceae
157;5/29/2020;10:40:00;Vereda Romeral, sector Crambray;3505;Hernando Hernandez;80;;no aplica;2;10;;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,222616;4,406634;;;;;Hypericum myriicarifolium;Hypericaceae
158;5/29/2020;13:23:00;Vereda Romeral, sector Crambray;3571,78;Hernando Hernandez;15;1590776675180.jpg;no aplica;2;10;15;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,22045074;4,406234744;;;;;Lycopodium clavatum;Lycopodiaceae
159;5/29/2020;10:54:00;Vereda Romeral, sector Crambray;3557,58;Hernando Hernandez;190;1590767820394.jpg;no aplica;2;10;190;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,22228439;4,406465699;;;;;Monnina aestuans;Polygalaceae
160;5/29/2020;11:57:00;Vereda Romeral, sector Crambray;3555,39;Hernando Hernandez;25;1590771522267.jpg;no aplica;2;10;25;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,2208338;4,406077481;;;;;Paepalanthus columbiensis;Eriocaulaceae
161;5/29/2020;13:36:00;Vereda Romeral, sector Crambray;3570,75;Hernando Hernandez;165;1590777460137.jpg;no aplica;2;10;165;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,22065991;4,406167727;;;;;Puya goudotiana ;Bromeliaceae
162;5/29/2020;13:45:00;Vereda Romeral, sector Crambray;3566,6;Hernando Hernandez;60;1590777974708.jpg;no aplica;2;10;60;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,22061495;4,406105564;;;;;Vaccinium floribundum;Ericaceae
163;5/29/2020;11:36:00;Vereda Romeral, sector Crambray;3561,86;Hernando Hernandez;150;1590770405427.jpg;no aplica;2;10;150;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,22109331;4,406055194;;;;;Valeriana pilosa;Caprifoliaceae
164;5/29/2020;13:10:00;Vereda Romeral, sector Crambray;3569,78;Hernando Hernandez;550;1590775930397.jpg;no aplica;2;10;550;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,22045413;4,406329767;;;;;Weinmannia fagaroides;Cunoniaceae
165;9/06/2020;11:04:00;Vereda Colorados ;3791;Hernando Hernandez;30;1591718753923.jpg;no aplica;2;10;30;25;25;11,7;;Estratocumulos;8-jun;14;3;;HDX y NIRQUEST;;;;;-74,21549475;4,370388184;;;;;Calamagrostis effusa;Poaceae
166;9/06/2020;10:33:00;Vereda Colorados ;3793;Hernando Hernandez;200;1591716892435.jpg;no aplica;2;10;200;25;25;11,7;;Estratocumulos;8-jun;14;3;;HDX y NIRQUEST;;;;;-74,21556293;4,370651504;;;;;Chusquea tessellata;Poaceae
167;9/06/2020;9:45:00;Vereda Colorados ;3791;Hernando Hernandez;100;1591714211120.jpg;no aplica;2;10;100;25;25;11,7;;Estratocumulos;8-jun;14;3;;HDX y NIRQUEST;;;;;-74,21522536;4,371953656;;;;;Espeletia grandiflora;Compositae
168;9/06/2020;10:45:00;Vereda Colorados ;3791;Hernando Hernandez;70;1591717597341.jpg;no aplica;2;10;70;25;25;11,7;;Estratocumulos;8-jun;14;3;;HDX y NIRQUEST;;;;;-74,21561904;4,370244063;;;;;Espeletia grandiflora ;Compositae
169;9/06/2020;11:28:00;Vereda Colorados ;3762;Hernando Hernandez;60;1591720173918.jpg;no aplica;2;10;60;25;25;11,7;;Estratocumulos;8-Aug;14;3;;HDX y NIRQUEST;;;;;-74,21234998;4,371783112;;;;;Hypericum myriicarifolium;Hypericaceae
170;9/06/2020;11:36:00;Vereda Colorados ;3759;Hernando Hernandez;350;1591720628761.jpg;no aplica;2;10;350;25;25;11,7;;Estratocumulos;9-Aug;14;3;;HDX y NIRQUEST;;;;;-74,21235768;4,371709907;;;;;Linochilus revolutus;Compositae
171;9/06/2020;10:20:00;Vereda Colorados ;3791;Hernando Hernandez;200;1591716086175.jpg;no aplica;3;10;200;25;25;11,7;;Estratocumulos;8-jun;14;3;;HDX y NIRQUEST;;;;;-74,21527292;4,371261585;;;;;Miconia  salicifolia ;Melastomataceae
172;9/06/2020;10:07:00;Vereda Colorados ;3793;Hernando Hernandez;70;1591715325524.jpg;no aplica;2;10;70;25;25;11,7;;Estratocumulos;8-jun;14;3;;HDX y NIRQUEST;;;;;-74,21523098;4,371461075;;;;;Puya santosii;Bromeliaceae
173;9/06/2020;10:53:00;Vereda Colorados ;3789;Hernando Hernandez;300;1591718109526.jpg;no aplica;2;10;300;25;25;11,7;;Estratocumulos;8-jun;14;3;;HDX y NIRQUEST;;;;;-74,21577141;4,370136968;;;;;Puya santosii;Bromeliaceae
174;9/06/2020;9:54:00;Vereda Colorados ;3790;Hernando Hernandez;80;1591714609409.jpg;no aplica;2;10;80;25;25;11,7;;Estratocumulos;8-jun;14;3;;HDX y NIRQUEST;;;;;-74,21529835;4,371725452;;;;;Valeriana pilosa;Caprifoliaceae
175;6/11/2020;10:15:00;La Aguadora;2810;Hernando Hernandez;50;1591888630827.jpg;no aplica;2;10;50;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,01975867;4,685307974;;;;;Arcytophyllum nitidum ;Rubiaceae
176;11/06/2020;9:23:00;La Aguadora;2816;Hernando Hernandez;250;1591885571164.jpg;no aplica;2;10;250;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,02055936;4,684881584;;;;;Clethra fimbriata;Clethraceae
177;11/06/2020;9:04:00;La Aguadora;2823;Hernando Hernandez;110;1591884322350.jpg;no aplica;2;10;110;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,02030002;4,684800559;;;;;Espeletiopsis bogotensis;Compositae
178;11/06/2020;11:44:00;La Aguadora;2790;Hernando Hernandez;2000;1591894033510.jpg;1591894075871.jpg;6;10;2000;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,01939747;4,686482404;;;;;Eucalyptus globulus ;Myrtaceae
179;11/06/2020;8:53:00;La Aguadora;2825;Hernando Hernandez;300;1591883797991.jpg;no aplica;2;10;300;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,02015316;4,684870458;;;;;Miconia squamulosa;Melastomataceae
180;11/06/2020;10:25:00;La Aguadora;2842;Hernando Hernandez;250;1591889240932.jpg;no aplica;2;10;250;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,01956424;4,685299383;;;;;Myrcianthes leucoxyla;Myrtaceae
181;11/06/2020;9:53:00;La Aguadora;2809;Hernando Hernandez;250;1591887434588.jpg;no aplica;4;10;250;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,02091197;4,68468741;;;;;Myrsine coriacea;Primulaceae
182;11/06/2020;9:36:00;La Aguadora;2814;Hernando Hernandez;300;1591886317154.jpg;no aplica;2;10;300;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,02064279;4,684877925;;;;;Myrsine guianensis;Primulaceae
183;11/06/2020;9:14:00;La Aguadora;2819;Hernando Hernandez;165;1591884927563.jpg;no aplica;2;10;165;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,02048087;4,684793536;;;;;Palicourea angustifolia ;Rubiaceae
184;11/06/2020;8:42:00;La Aguadora;2823;Hernando Hernandez;900;1591883054102.jpg;no aplica;7;10;900;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,02026011;4,685124766;;;;;Pinus patula ;Pinaceae
185;11/06/2020;9:44:00;La Aguadora;2810;Hernando Hernandez;400;1591886771683.jpg;no aplica;2;10;400;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,02085205;4,684812218;;;;;Pinus patula ;Pinaceae
186;11/06/2020;10:41:00;La Aguadora;2856;Hernando Hernandez;130;1591890220307.jpg;no aplica;2;10;130;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,01901423;4,685344016;;;;;Pteridium aquilinum;Dennstaedtiaceae
187;11/06/2020;11:22:00;La Aguadora;2819;Hernando Hernandez;100;1591892733352.jpg;no aplica;4;10;100;25;25;11,7;;Estratocumulos;8-jun;15;4;;HDX y NIRQUEST;;;;;-74,02037717;4,685700961;;;;;Ulex eurapaeus;Leguminosae
188;7/22/2020;12:16:00;Quebrada las delicias;2854,43;Hernando Hernandez;400;1595434649744.jpg;no aplica;2;10;400;25;25;11,7;;Cirros;8-jul;9;3;;HDX y NIRQUEST;;;;;-74,05090806;4,636987099;;;;;Ageratina asclepiadea;Compositae
189;7/22/2020;12:06:00;Quebrada las delicias;2806,12;Hernando Hernandez;200;1595434079134.jpg;no aplica;2;10;200;25;25;11,7;;Cirros;8-jul;9;2;;HDX y NIRQUEST;;;;;-74,05067203;4,637152045;;;;;Baccharis latifolia;Compositae
190;7/22/2020;13:01:00;Quebrada las delicias;2730,04;Hernando Hernandez;250;1595437349113.jpg;no aplica;1;10;250;25;25;11,7;;Cirros;8-Aug;10;2;;HDX y NIRQUEST;;;;;-74,05171507;4,636889073;;;;;Cavendishia bracteata;Ericaceae
191;7/22/2020;10:20:00;Quebrada las delicias;2883,19;Hernando Hernandez;100;1595427677802.jpg;no aplica;1;10;100;25;25;11,7;;Cirros;8-jul;9;2;;HDX y NIRQUEST;;;;;-74,0507102;4,637050199;;;;;Chusquea scandens;Poaceae
192;7/22/2020;10:34:00;Quebrada las delicias;2861,94;Hernando Hernandez;200;1595428675916.jpg;no aplica;1;10;200;25;25;11,7;;Cirros;8-jul;9;2;;HDX y NIRQUEST;;;;;-74,04991291;4,636301547;;;;;Citharexylum sulcatum;Verbenaceae
193;7/22/2020;11:13:00;Quebrada las delicias;2843,46;Hernando Hernandez;400;1595430880607.jpg;no aplica;1;10;400;25;25;11,7;;Cirros;8-jul;9;2;;HDX y NIRQUEST;;;;;-74,04997942;4,636021231;;;;;Clusia multiflora;Clusiaceae
194;7/22/2020;13:04:00;Quebrada las delicias;2808,48;Hernando Hernandez;100;1595437698701.jpg;no aplica;1;10;100;25;25;11,7;;Cirros;8-Aug;15;2;;HDX y NIRQUEST;;;;;-74,05173948;4,636930365;;;;;Hypericum  juniperinum;Hypericaceae
195;7/22/2020;9:17:00;Quebrada las delicias;2782,02;Hernando Hernandez;250;1595424076701.jpg;no aplica;1;10;250;25;25;11,7;;Cirros;8-jul;9;2;;HDX y NIRQUEST;;;;;-74,05193079;4,636964536;;;;;Linochilus revolutus;Compositae
196;7/22/2020;11:22:00;Quebrada las delicias;2845,22;Hernando Hernandez;1000;1595431384424.jpg;no aplica;1;10;1000;25;25;11,7;;Cirros;8-jul;9;2;;HDX y NIRQUEST;;;;;-74,04982818;4,636391526;;;;;Meliosma bogotana;Sabiaceae
197;7/22/2020;10:00:00;Quebrada las delicias;2882,81;Hernando Hernandez;400;1595426582901.jpg;no aplica;1;10;400;25;25;11,7;;Cirros;8-jul;9;2;;HDX y NIRQUEST;;;;;-74,05119376;4,637095498;;;;;Miconia elaeoides ;Melastomataceae
198;7/22/2020;12:55:00;Quebrada las delicias;2789,53;Hernando Hernandez;180;1595436979869.jpg;no aplica;1;10;180;25;25;11,7;;Cirros;8-Aug;10;4;;HDX y NIRQUEST;;;;;-74,05175806;4,637027419;;;;;Miconia parvifolia;Melastomataceae
199;7/22/2020;12:43:00;Quebrada las delicias;2650,11;Hernando Hernandez;400;1595436251148.jpg;no aplica;1;10;400;25;25;11,7;;Cirros;8-Aug;9;4;;HDX y NIRQUEST;;;;;-74,05137456;4,636429342;;;;;Morella pubescens ;Myricaceae
200;7/22/2020;11:31:00;Quebrada las delicias;2904,27;Hernando Hernandez;200;1595431945606.jpg;no aplica;1;10;200;25;25;11,7;;Cirros;8-jul;9;2;;HDX y NIRQUEST;;;;;-74,05008079;4,636419733;;;;;Myrsine coriacea;Primulaceae
201;7/22/2020;10:46:00;Quebrada las delicias;2914,01;Hernando Hernandez;450;1595429490559.jpg;no aplica;1;10;450;25;25;11,7;;Cirros;8-jul;9;2;;HDX y NIRQUEST;;;;;-74,05068311;4,636744191;;;;;Oreopanax incisus;Araliaceae
202;7/22/2020;10:59:00;Quebrada las delicias;2948,36;Hernando Hernandez;200;1595430056460.jpg;no aplica;1;10;200;25;25;11,7;;Cirros;8-jul;9;2;;HDX y NIRQUEST;;;;;-74,05012554;4,637007259;;;;;Psychotria boqueronensis;Rubiaceae
203;7/22/2020;13:12:00;Quebrada las delicias;2725,43;Hernando Hernandez;190;1595438016332.jpg;no aplica;1;10;190;25;25;11,7;;Cirros;8-Aug;15;2;;HDX y NIRQUEST;;;;;-74,05170528;4,636974015;;;;;Ulex eurapaeus;Leguminosae
204;7/22/2020;9:33:00;Quebrada las delicias;2784,15;Hernando Hernandez;400;1595424970095.jpg;1595425084893.jpg;1;10;400;25;25;11,7;;Cirros;8-jul;9;2;;HDX y NIRQUEST;;;;;-74,0512023;4,636922901;;;;;Vallea stipularis;Elaeocarpaceae
205;7/22/2020;9:49:00;Quebrada las delicias;2811,94;Hernando Hernandez;250;1595425842771.jpg;no aplica;2;10;250;25;25;11,7;;Cirros;8-jul;9;2;;HDX y NIRQUEST;;;;;-74,05118833;4,637063502;;;;;weinmannia tomentosa;Cunoniaceae
206;7/23/2020;13:50:00;Quebrada La Vieja;3203,82;Hernando Hernandez;110;1595526813928.jpg;no aplica;1;10;110;25;25;11,7;;Cirros;8-jul;10;1;;HDX y NIRQUEST;;;;;-74,03205115;4,642279225;;;;;Aragoa abietina;Plantaginaceae
207;7/23/2020;9:36:00;Quebrada La Vieja;2935,38;Hernando Hernandez;30;1595515337935.jpg;no aplica;2;10;30;25;25;11,7;;Cirros;8-jun;9;2;;HDX y NIRQUEST;;;;;-74,04025045;4,642437821;;;;;Tillandsia biflora;Bromeliaceae
208;7/23/2020;14:24:00;Quebrada La Vieja;3214,7;Hernando Hernandez;300;;no aplica;1;10;300;25;25;11,7;;Cirros;8-jul;10;1;;HDX y NIRQUEST;;;;;-74,03157449;4,642135763;;;;;Bucquetia glutinosa;Melastomataceae
209;7/23/2020;12:03:00;Quebrada La Vieja;3142,12;Hernando Hernandez;350;1595520333301.jpg;no aplica;2;10;350;25;25;11,7;;Cirros;8-jun;9;2;;HDX y NIRQUEST;;;;;-74,03488036;4,641581211;;;;;Drymmis granadensis;Winteraceae
210;7/23/2020;13:01:00;Quebrada La Vieja;3180,42;Hernando Hernandez;170;1595523773893.jpg;no aplica;2;10;170;25;25;11,7;;Cirros;8-jul;9;1;;HDX y NIRQUEST;;;;;-74,03280514;4,642124754;;;;;Hypericum goyanesii;Hypericaceae
211;7/23/2020;14:03:00;Quebrada La Vieja;3204,97;Hernando Hernandez;5;1595527486409.jpg;no aplica;1;10;5;25;25;11,7;;Cirros;8-jul;10;1;;HDX y NIRQUEST;;;;;-74,03198638;4,642282294;;;;;Leptodontium viticulosoides;Pottiaceae
212;7/23/2020;12:51:00;Quebrada La Vieja;3184,64;Hernando Hernandez;200;1595523171523.jpg;no aplica;1;10;200;25;25;11,7;;Cirros;8-jun;9;1;;HDX y NIRQUEST;;;;;-74,03284485;4,642173406;;;;;Macleania rupestris ;Ericaceae
213;7/23/2020;12:47:00;Quebrada La Vieja;3222,88;Hernando Hernandez;150;1595522917552.jpg;no aplica;1;10;150;25;25;11,7;;Cirros;8-jun;9;2;;HDX y NIRQUEST;;;;;-74,03277443;4,642249282;;;;;Miconia ligustrina;Melastomataceae
214;7/23/2020;11:28:00;Quebrada La Vieja;3025,48;Hernando Hernandez;300;1595518252390.jpg;no aplica;1;10;300;25;25;11,7;;Cirros;8-jun;9;2;;HDX y NIRQUEST;;;;;-74,03789725;4,641488241;;;;;Myrcianthes cf. orthostemon;Myrtaceae
215;7/23/2020;10:17:00;Quebrada La Vieja;2930,66;Hernando Hernandez;250;1595514061571.jpg;no aplica;1;10;250;25;25;11,7;;Cirros;8-jun;9;2;;HDX y NIRQUEST;;;;;-74,04097217;4,642907395;;;;;Oreopanax bogotensis;Araliaceae
216;7/23/2020;13:40:00;Quebrada La Vieja;3205,43;Hernando Hernandez;250;1595526250597.jpg;no aplica;2;10;250;25;25;11,7;;Cirros;8-jul;10;1;;HDX y NIRQUEST;;;;;-74,03208357;4,642257102;;;;;Oreopanax mutisianus;Araliaceae
217;7/23/2020;11:06:00;Quebrada La Vieja;2925,37;Hernando Hernandez;600;1595516895421.jpg;no aplica;2;10;600;25;25;11,7;;Cirros;8-jun;9;2;;HDX y NIRQUEST;;;;;-74,04002498;4,642382122;;;;;Quercus  humboldtii;Fagaceae
218;7/23/2020;9:40:00;Quebrada La Vieja;2789,61;Hernando Hernandez;500;1595511763783.jpg;1595511786082.jpg;1;10;500;25;25;11,7;;Cirros;8-jun;9;2;;HDX y NIRQUEST;;;;;-74,04357869;4,645878734;;;;;Smallanthus pyramidalis;Compositae
219;7/23/2020;12:19:00;Quebrada La Vieja;3182,67;Hernando Hernandez;200;1595521295123.jpg;no aplica;1;10;200;25;25;11,7;;Cirros;8-jun;9;2;;HDX y NIRQUEST;;;;;-74,0338936;4,641697642;;;;;Tibouchina grossa;Melastomataceae
220;7/23/2020;10:47:00;Quebrada La Vieja;2922,34;Hernando Hernandez;300;1595515872591.jpg;no aplica;1;10;300;25;25;11,7;;Cirros;8-jun;9;2;;HDX y NIRQUEST;;;;;-74,04024661;4,642397756;;;;;Viburnum triphyllum;Adoxaceae
